COD-MARCA           ;NOMBRE ;NOMBRE 1 
1;ABC         ;ABC                                                         
2;AETNA       ;AETNA                                                       
3;AKE         ;AKE                                                         
4;AMERICAN    ;AMERICAN                                                    
5;ANDREWS     ;ANDREWS                                                     
6;ARH         ;ARH                                                         
7;ASAHI       ;ASAHI                                                       
8;AyS         ;AyS                                                         
9;BALTZER     ;BALTZER                                                     
10;BARDEN      ;BARDEN                                                      
11;BCA         ;BCA                                                         
12;BLACKWEL    ;BLACKWELL                                                   
13;BM3         ;BM3                                                         
14;BOWER       ;BOWER                                                       
15;BTB         ;BTB                                                         
16;BUPER       ;BUPER                                                       
17;CBF         ;CBF                                                         
18;CFC         ;CFC                                                         
19;CHINA       ;CHINA                                                       
20;CJB         ;CJB                                                         
21;CS          ;CS                                                          
22;DKF         ;DKF                                                         
23;DELCO       ;DELCO                                                       
24;DURKOPP     ;DURKOPP                                                     
25;EIMM        ;EIMM                                                        
26;ELGES       ;ELGES                                                       
27;EXCELLO     ;EXCELLO                                                     
28;FAFNIR      ;FAFNIR                                                      
29;FAG         ;FAG                                                         
30;FAG BRAS    ;FAG BRAS                                                    
31;FBC         ;FBC                                                         
32;FCM         ;FCM                                                         
33;FEDERAL     ;FEDERAL                                                     
34;FLT         ;FLT                                                         
35;FPP         ;FPP                                                         
36;FRANCES     ;FRANCES                                                     
37;FRB         ;FRB                                                         
38;FyH         ;FyH                                                         
39;FyS         ;FyS                                                         
40;GF          ;GF                                                          
41;GMN         ;GMN                                                         
42;GNUTTI      ;GNUTTI                                                      
43;GPZ         ;GPZ                                                         
44;GREEN       ;GREEN                                                       
45;HESS BRI    ;HESS BRIGH                                                  
46;HIC         ;HIC                                                         
47;HOFFMANN    ;HOFFMANN                                                    
48;HOOVER      ;HOOVER                                                      
49;HUBER       ;HUBER                                                       
50;HYATT       ;HYATT                                                       
51;IHC         ;IHC                                                         
52;IKL         ;IKL                                                         
53;IKO         ;IKO                                                         
54;IKS         ;IKS                                                         
55;NO USAR IMP.;NO USAR (IMPORTADO)                                         
56;INA         ;INA                                                         
57;IND.ARG.    ;IND.ARG.                                                    
58;IRB         ;IRB                                                         
59;ITALIANO    ;ITALIANO                                                    
60;JAF         ;JAF                                                         
61;JAPON       ;JAPON                                                       
62;JBS         ;JBS                                                         
63;JEAGER      ;JEAGER                                                      
64;KBK         ;KBK                                                         
65;KOYO        ;KOYO                                                        
66;KBC         ;KBC                                                         
67;LINK BEL    ;LINK BELT                                                   
68;LyS         ;LyS                                                         
69;MAB         ;MAB                                                         
70;MAR         ;MAR                                                         
71;MBS         ;MBS                                                         
72;MCGILL      ;MCGILL                                                      
73;MGM         ;MGM                                                         
74;MRC         ;MRC                                                         
75;NACHI       ;NACHI                                                       
76;NADELLA     ;NADELLA                                                     
77;NDH         ;NDH                                                         
78;N.DEPART    ;NEW DEPART                                                  
79;NICE        ;NICE                                                        
80;NKA         ;NKA                                                         
81;NMB         ;NMB                                                         
82;NH          ;NH                                                          
83;NSK         ;NSK                                                         
84;NTN         ;NTN                                                         
85;NWG         ;NWG                                                         
86;ORANGE      ;ORANGE                                                      
87;OVR         ;OVR                                                         
88;POLLARD     ;POLLARD                                                     
89;PS          ;PS                                                          
90;PSA         ;PSA                                                         
91;RBC         ;RBC                                                         
92;RBF         ;RBF                                                         
93;REX         ;REX                                                         
94;RHP         ;RHP                                                         
95;RIV         ;RIV                                                         
96;RIV IA      ;RIV IA                                                      
97;RKW         ;RKW                                                         
98;ROLLWAY     ;ROLLWAY                                                     
99;RUL         ;RUL                                                         
100;RyM         ;RyM                                                         
101;SDM I.A.    ;SDM I.A.                                                    
102;SEAL MAS    ;SEAL MASTE                                                  
103;IMPORT.     ;IMPORTAD                                                    
104;SKEFKO      ;SKEFKO                                                      
105;SKF         ;SKF                                                         
106;SKF BRAS    ;SKF BRAS                                                    
107;SKF IA      ;SKF IA                                                      
108;SLB         ;SLB                                                         
109;SNFA        ;SNFA                                                        
110;SNR         ;SNR                                                         
111;SPHERCO     ;SPHERCO                                                     
112;SRO         ;SRO                                                         
113;STAR        ;STAR                                                        
114;STEYR       ;STEYR                                                       
115;TAM         ;TAM                                                         
116;THE         ;THE                                                         
117;TIMKEN      ;TIMKEN                                                      
118;TNB         ;TNB                                                         
119;TORRINGT    ;TORRINGTON                                                  
120;TYSON       ;TYSON                                                       
121;URB         ;URB                                                         
122;USA         ;USA                                                         
123;VKF         ;VKF                                                         
124;WIB         ;WIB                                                         
125;ZKL         ;ZKL                                                         
126;ROLMAX      ;ROLMAX                                                      
127;MPZ         ;MPZ                                                         
128;KFB         ;KFB                                                         
129;WTW         ;WTW                                                         
130;SMITH       ;SMITH                                                       
131;STIEBER     ;STIEBER                                                     
132;DODGE       ;DODGE                                                       
133;SCHATZ      ;SCHATZ                                                      
134;RMC         ;RMC                                                         
135;ADR         ;ADR                                                         
136;BRENCO      ;BRENCO                                                      
137;NBC         ;NBC                                                         
138;UTL         ;UTL                                                         
139;ROSSI       ;ROSSI                                                       
140;RLC         ;RLC                                                         
141;KAYDON      ;KAYDON                                                      
142;DWB         ;DWB                                                         
143;FKL         ;FKL                                                         
144;EDDYTHER    ;EDDYTHERM                                                   
145;NATIONAL    ;NATIONAL                                                    
146;NWO         ;NWO                                                         
147;SANGER      ;SANGER                                                      
148;THOMPSON    ;THOMPSON                                                    
149;SAN YUN     ;SAN YUN                                                     
150;MAGESTIC    ;MAGESTIC                                                    
151;FAGINA      ;FAGINA                                                      
152;BANTAM      ;BANTAM                                                      
153;CAT         ;CATERPILLAR                                                 
154;JMR         ;JMR                                                         
155;BGK         ;BGK                                                         
156;ZWZ         ;ZWZ                                                         
157;FMC         ;FMC                                                         
158;NBN         ;NBN                                                         
159;TAIWAN      ;TAIWAN                                                      
160;COOPER      ;COOPER                                                      
161;INDIA       ;INDIA                                                       
162;MKW         ;MKW                                                         
163;HCH         ;HCH                                                         
164;LOCTITE     ;LOCTITE                                                     
165;ACE         ;ACE                                                         
166;TIRAX       ;TIRAX                                                       
167;IPIRANGA    ;IPIRANGA                                                    
168;CX          ;CX                                                          
169;FK          ;FK                                                          
170;ROLLIX      ;ROLLIX                                                      
171;NKN         ;NKN                                                         
172;KHS         ;KHS                                                         
173;AURORA      ;AURORA                                                      
174;KG          ;KG                                                          
175;NDC         ;NDC                                                         
176;HENFEL      ;HENFEL                                                      
177;KOP-FLEX    ;KOP-FLEX                                                    
178;MORSE       ;MORSE                                                       
179;BROWNING    ;BROWNING                                                    
180;PEER        ;PEER                                                        
181;THK         ;THK                                                         
182;ISB         ;ISB                                                         
183;HABASIT     ;HABASIT                                                     
184;BECO        ;BECO                                                        
185;SEMAPI      ;SEMAPI                                                      
186;NBS         ;NBS                                                         
187;BEGA        ;BEGA                                                        
188;NILOS       ;NILOS                                                       
189;VBF         ;VBF                                                         
190;DUAL VEE    ;DUAL VEE                                                    
191;KILIAN      ;KILIAN                                                      
192;HIWIN       ;HIWIN                                                       
193;YPF         ;YPF                                                         
194;MOBIL       ;MOBIL                                                       
195;ESSO        ;ESSO                                                        
196;DUPONT      ;DUPONT                                                      
197;PETROBRAS   ;PETROBRAS                                                   
198;MOLYKOTE    ;MOLYKOTE                                                    
199;BARDAHL     ;BARDAHL                                                     
200;SULLAIR     ;SULLAIR                                                     
201;ROTHE ERDE  ;ROTHE ERDE                                                  
202;MANN        ;MANN                                                        
203;ROLLON      ;ROLLON                                                      
204;ISK         ;ISK                                                         
205;KLUBER      ;KLUBER                                                      
206;SHELL       ;SHELL                                                       
207;SCHNEEBERGER;SCHNEEBERGER                                                
208;DBB         ;DBB                                                         
209;OPTIMOL     ;OPTIMOL                                                     
210;FARO        ;FARO                                                        
211;INTERROLL   ;INTERROLL                                                   
212;TYCHOWAY    ;TYCHOWAY                                                    
213;RBK         ;RBK                                                         
214;SFERAX      ;SFERAX                                                      
215;ZVL         ;ZVL                                                         
216;NIS         ;NIS                                                         
217;QCB         ;QCB                                                         
218;ZWICKER     ;ZWICKER                                                     
219;NBI         ;NBI                                                         
220;ALWAYSE     ;ALWAYSE                                                     
221;DIT         ;DIT                                                         
222;KUBAR       ;KUBAR                                                       
223;TYLER       ;TYLER                                                       
224;PTI         ;PTI                                                         
225;SHUSTER     ;SHUSTER                                                     
226;PHOENIX     ;PHOENIX                                                     
227;SPIETH      ;SPIETH                                                      
228;TECNON      ;TECNON                                                      
229;HEIM        ;HEIM                                                        
230;MIETHER     ;MIETHER                                                     
231;AVON        ;AVON                                                        
232;UNIBAL      ;UNIBAL                                                      
233;APARICIO    ;APARICIO                                                    
234;TEXACO      ;TEXACO                                                      
235;RENOLD      ;RENOLD                                                      
236;OPTIBELT    ;OPTIBELT                                                    
237;GUMMI       ;GUMMI                                                       
238;CASTROL     ;CASTROL                                                     
239;GATES       ;GATES                                                       
240;CHEVRON     ;CHEVRON                                                     
241;OKS         ;OKS                                                         
242;ANCHOR LAMIN;ANCHOR LAMINA                                               
243;TUPAC       ;TUPAC                                                       
244;IGUS        ;IGUS                                                        
245;MARTIN      ;MARTIN                                                      
246;EICH        ;EICH                                                        
247;MITSUBOSHI  ;MITSUBOSHI                                                  
248;KML         ;KML                                                         
249;MEGADYNE    ;MEGADYNE                                                    
250;DAYCO       ;DAYCO                                                       
251;GAMET       ;GAMET                                                       
252;REXNORD     ;REXNORD                                                     
253;HH          ;HH                                                          
254;FSQ         ;FSQ                                                         
255;RENK        ;RENK                                                        
256;TECNO-PERIFL;TECNO-PERIFLEX                                              
257;TOTAL       ;TOTAL                                                       
258;FLI         ;FLI                                                         
259;WD          ;WD                                                          
260;DRIVES      ;DRIVES                                                      
261;CAMOZZI     ;CAMOZZI                                                     
262;HITACHI     ;HITACHI                                                     
263;TOLLOK      ;TOLLOK                                                      
264;CR          ;CR                                                          
265;ELITE       ;ELITE                                                       
267;TEKMATIC    ;TEKMATIC                                                    
268;DURBAL      ;DURBAL                                                      
269;TSUBAKI     ;TSUBAKI                                                     
270;GARLOCK     ;GARLOCK                                                     
271;ALBERT      ;ALBERT                                                      
272;TUBOLOC     ;TUBOLOC                                                     
273;SIN PAR     ;SIN PAR                                                     
274;ABIX        ;ABIX                                                        
275;MITUTOYO    ;MITUTOYO                                                    
276;RHOM        ;RHOM                                                        
277;KOP FLEX    ;KOP FLEX                                                    
278;CHALLENGE   ;CHALLENGE                                                   
279;RS          ;RS                                                          
280;RINGSPANN   ;RINGSPANN                                                   
281;MESSINGER   ;MESSINGER                                                   
282;MATHEWS     ;MATHEWS                                                     
283;CTS         ;CTS                                                         
284;COMEL       ;COMEL                                                       
285;NTN TW      ;NTN TW                                                      
286;PELICAN     ;PELICAN                                                     
287;LAAPSA      ;LAAPSA                                                      
288;BECHEM      ;BECHEM                                                      
289;NB          ;NB                                                          
290;EVEREST     ;EVEREST                                                     
291;HIKING BOX  ;HIKING BOX                                                  
292;TRICASES    ;TRICASES                                                    
293;RKB         ;RKB                                                         
294;AMES        ;AMES                                                        
295;KOBE        ;KOBE                                                        
296;RHOTE ERDE  ;RHOTE ERDE                                                  
297;ROTOLIN     ;ROTOLIN                                                     
298;HFB         ;HFB                                                         
299;JNS         ;JNS                                                         
999;            ;                                                            
